"landmark_alias","landmark_fk"
"Anel do Brejo",4
"Bloco 1B e Bloco 2B (Cipresa)",5
"Parque Maria da Luz",6
"Escola Estadual Irmã Joaquina Sampaio",7
"Banco do Brasil",10
"Posto Roma",11
"Terminal Rodoviário de Campina Grande",13
"ARBORIZAÇÃO AO REDOR DO CAMPO DE FUTEBOL",19
"Bar do Dudu",23
"E.E.E.F.M Monte Carmelo",24
"Bar do Bode",25
"Petrópilos Steakhouse",27
"campo de futebol",30
"Centro Especializado em Reabilitação",34
"Campina Grande",36
"Açude de Bodocongó",40
"Canal do Prado",41
"Centro Juridico Rafael Mayer",42
"Estacionamento da Catedral Diocesana Nossa Senhora da Conceição",49
"RedePharma",53
"Motel Delírius",54
"Laboratório de Informática 1",55
"Monumento de Adoração à Biblía",56
"Escola Estadual de Ensino Fundamental de Aplicação",58
"Vila Riacho Bodocongó",62
"Palacio das Artes Suellen Carolini",65
"Igreja Batista Cristo Vive",66
"Praça Quinze de Novembro",67
"Igreja da sagrada Familía",68
"Gabriela",69
"Posto Sudoeste",71
"Escola Marizete Raposo Nascimento",78
"Busto de Elpídio de Almeida",79
"Bloco BF (UFCG)",81
"Sabor e Requinte",86
"Área de Vivência",87
"Bloco 1F e Bloco 2F (Cipresa)",91
"Praça Mural das Flores",97
"Igreja Congrecional da Zona Sul",99
"5",102
"Hotel Central",104
"Farmácia Dias",109
"Bloco Administrativo",112
"Riacho Marinho",113
"Posto São Luiz I",115
"Praça Centenário",116
"Igreja Biblíca Semear",125
"UPP",129
"CANTEIRO CENTRAL",138
"Fit Club",141
"Posto São Luiz III",144
"Hospital Campina Grande",146
"CAVALCANTI HOUSE",147
"Bloco AL (Centro de Extensão - UFCG)",150
"Kasa Decor",153
"Residencial Cipresa",154
"Templo das Testemunhas de Jeová",157
"Sorrifácil",161
"Oca do Açaí",174
"Praça Mural das Flores",175
"Laboratório de Mineralogia",187
"Bloco AF (Santander)",189
"Residencial Canaã",194
"Bloco CV (UFCG)",195
"Império Multimarcas",196
"Churrascaria do Paraná",197
"Tio Wei",202
"Igreja São Viciente de Paula",205
"Biblioteca Central (UFCG)",206
"Bloco BR (UFCG)",207
"Estação de Esgoto da UEPB/CAgepa",213
"Teatro Facisa",217
"Bloco CY (UFCG)",218
"FIEP",220
"Escola Estadual Assis Chatteaubriand",222
"6",223
"Granja Sião",225
"Margem do Canal da Ramadinha",232
"Posto Policial Chã Do Marinho",233
"ESCOLAR",236
"Supermercado Ideal",237
"Praça Félix Araújo",238
"Riacho Riachão",239
"Lago",244
"Escola Polivalente Senador Argemiro de Figueiredo",247
"Campo do Canajú",252
"Fontes Renovaveis",254
"Campo de Futebol da Feirinha",258
"Parque Ana Vilar",259
"Canal Fluvial de Bodocongó",260
"Campo de Areia",262
"Telemarketing",264
"Churrasquinho do Sr. Marcos",265
"Clínica Dr. Wanderley",266
"Recanto Feliz",267
"Clínica de Olhos Francisco Pinto",269
"Kabana Burg",270
"Fiori",271
"Estação de Gás",275
"Praça Procurador de Justiça Alcindor de Oliveira Villarin",279
"Igreja Presbiteriana de Campina Grande",282
"Bradesco",283
"EDIFICAR",284
"AutoShopping Campina",286
