"name","count"
"Bloco AF (Santander)",2
"Praça Clementino Procópio",2
"Biblioteca Central (UFCG)",2
NULL,2
"Parque do Portal Sudoeste",2
NULL,2
"Bloco BB - Praça de Alimentação (UFCG)",2
NULL,2
"Praça Professor Chico Colares",2
"Pracinha ESFIT",2
"Banco do Brasil",2
"Açaiteria",2
"Praça José Américo",2
"Monumento a João Rique",2
NULL,2
"Praça do Trabalho",2
"Supermecado Econômico",2
"Cemitério José Pinheiro",2
"Churrasquinho do Sr. Marcos",2
"Praça Lino Cavalcante",2
"Cemitério Municipal de Lagoa Seca",3
"Praça da Igreja Nossa Senhora Rainha da Paz",2
"Campina Grande (Velha)",2
"Posto Bodocongó",2
"Sesc Centro",2
"Biblioteca Poeta Zé da Luz",2
"Praça Augusto dos Anjos",2
"O Espetão - Bar e Restaurante",2
"Boi e Brasa Churrascaria",2
NULL,2
NULL,2
"Minibox do Enoque",2
"Praça Sebastião Santos",2
"Praça Rosa Mística",2
"Praça do Rosário",2
NULL,2
"Igreja São Viciente de Paula",2
"Campo Santo Parque da Paz",2
"Templo das Testemunhas de Jeová",2
"Nord Easy Hotel",2
"Escola Estadual de Ensino Fundamental do Rosário",2
"ÁREA VERDE",2
NULL,2
NULL,2
"CANTEIRO CENTRAL",2
NULL,2
NULL,2
"Residencial Cipresa",2
"Praça da Escola Publica do Severino Cabral",2
NULL,2
NULL,2
"Facisa Food Park",2
"Jackson do Pandeiro",2
NULL,2
"academia popular",2
"Banco do Brasil Estilo",2
NULL,2
"Anel do Brejo",2
NULL,2
NULL,2
NULL,2
"Coreto do CAA",2
NULL,2
NULL,2
NULL,2
NULL,2
"Campo de Futebol da Feirinha",2
"Igreja Biblíca Semear",2
NULL,2
"Praça Cônsul Joseph Noujaim Habib Nacad",2
NULL,2
"Hotel Central",2
"Parque Tobias Di Pace",2
NULL,2
NULL,2
NULL,2
"Via Mirante",2
"Praça Antônio Pessoa",2
NULL,2
NULL,2
"Forno Nobre Massas Finas",2
NULL,2
NULL,2
NULL,2
NULL,2
"Parque infantil",2
NULL,2
"Praça do Coreto da Reitoria",2
NULL,2
"Praça Maurício Moura",2
"Praça Pedra do Sapo",2
"Tec Lanches",2
"Bloco AF1 (Caixa Econômica Federal)",2
"Parque do Povo",2
"Teatro Facisa",2
"Bloco AI (Banco do Brasil)",2
